,Date,Open*,High,Low,Close**,Volume,Market Cap
497,"Feb 03, 2018",2315,2474,2076,2420,179 080 992,2 409 975 713
498,"Feb 02, 2018",2495,2495,1837,2307,340 095 008,2 297 501 840
499,"Feb 01, 2018",2877,2888,2374,2497,251 254 000,2 485 813 515
500,"Jan 31, 2018",2721,2876,2596,2876,271 852 000,2 862 161 900
501,"Jan 30, 2018",3177,3177,2698,2713,235 160 000,2 699 947 203
502,"Jan 29, 2018",3321,3366,3097,3171,197 076 000,3 155 039 735
503,"Jan 28, 2018",2962,3440,2962,3290,350 799 008,3 272 200 633
504,"Jan 27, 2018",2876,3013,2815,2949,127 839 000,2 932 638 039
505,"Jan 26, 2018",2910,2969,2682,2880,198 044 992,2 862 489 274
506,"Jan 25, 2018",2989,3039,2879,2919,162 748 992,2 901 469 362
507,"Jan 24, 2018",2847,3054,2808,2960,187 788 992,2 941 496 710
